tempAvgT,setPointT,relaystateT,Kpt,KiT,KdT,InputT,OutputT,tempAvgB,setPointB,relayStateB,KpB,KiB,KdB,InputB,OutputB
172,144,0,50,0,0,172,0,172,182,1,50,0,0,172,494,0
173,144,0,50,0,0,173,0,173,182,1,50,0,0,173,435,0
174,144,0,50,0,0,174,0,174,182,1,50,0,0,174,383,0
178,144,0,50,0,0,178,0,178,182,1,50,0,0,178,198,0
181,144,0,50,0,0,181,0,180,182,0,50,0,0,180,51,0
182,144,0,50,0,0,182,0,182,182,0,50,0,0,182,0,0
182,144,0,50,0,0,182,0,182,182,0,50,0,0,182,0,0
183,144,0,50,0,0,183,0,182,182,0,50,0,0,182,0,0
183,144,0,50,0,0,183,0,181,182,0,50,0,0,181,5,0
183,144,0,50,0,0,183,0,182,182,0,50,0,0,182,0,0
183,144,0,50,0,0,183,0,181,182,0,50,0,0,181,16,0
181,144,0,50,0,0,181,0,179,182,0,50,0,0,179,25,0
177,144,0,50,0,0,177,0,176,182,1,50,0,0,176,289,0
174,144,0,50,0,0,174,0,173,182,1,50,0,0,173,414,0
176,144,0,50,0,0,176,0,175,182,1,50,0,0,175,348,0
180,144,0,50,0,0,180,0,179,182,0,50,0,0,179,226,0
179,144,0,50,0,0,179,0,177,182,0,50,0,0,177,201,0
181,144,0,50,0,0,181,0,180,182,0,50,0,0,180,183,0
183,144,0,50,0,0,183,0,182,182,0,50,0,0,182,0,0
186,144,0,50,0,0,186,0,185,182,0,50,0,0,185,0,0
188,144,0,50,0,0,188,0,186,182,0,50,0,0,186,0,0
188,144,0,50,0,0,188,0,187,182,0,50,0,0,187,0,0
186,144,0,50,0,0,186,0,185,182,0,50,0,0,185,0,0
184,144,0,50,0,0,184,0,182,182,0,50,0,0,182,0,0
183,144,0,50,0,0,183,0,181,182,0,50,0,0,181,46,0
183,144,0,50,0,0,183,0,181,182,0,50,0,0,181,75,0
183,144,0,50,0,0,183,0,181,182,0,50,0,0,181,30,0
181,144,0,50,0,0,181,0,180,182,0,50,0,0,180,66,0
180,144,0,50,0,0,180,0,179,182,0,50,0,0,179,121,0
178,144,0,50,0,0,178,0,178,182,0,50,0,0,178,89,0
177,144,0,50,0,0,177,0,176,182,0,50,0,0,176,278,0
175,144,0,50,0,0,175,0,174,182,0,50,0,0,174,341,0
174,144,0,50,0,0,174,0,173,182,1,50,0,0,173,450,0
172,144,0,50,0,0,172,0,172,182,1,50,0,0,172,514,0
173,144,0,50,0,0,173,0,172,182,1,50,0,0,172,478,0
172,144,0,50,0,0,172,0,170,182,1,50,0,0,170,530,0
173,144,0,50,0,0,173,0,172,182,0,50,0,0,172,464,0
180,144,0,50,0,0,180,0,180,182,0,50,0,0,180,316,0
185,144,0,50,0,0,185,0,184,182,0,50,0,0,184,91,0
190,144,0,50,0,0,190,0,189,182,0,50,0,0,189,0,0
191,144,0,50,0,0,191,0,189,182,0,50,0,0,189,0,0
191,144,0,50,0,0,191,0,189,182,0,50,0,0,189,0,0
190,144,0,50,0,0,190,0,187,182,0,50,0,0,187,0,0
186,144,0,50,0,0,186,0,182,182,0,50,0,0,182,0,0
184,144,0,50,0,0,184,0,181,182,0,50,0,0,181,0,0
183,144,0,50,0,0,183,0,180,182,0,50,0,0,180,96,0
180,144,0,50,0,0,180,0,176,182,0,50,0,0,176,191,0
179,144,0,50,0,0,179,0,175,182,0,50,0,0,175,350,0
176,144,0,50,0,0,176,0,173,182,0,50,0,0,173,428,0
176,144,0,50,0,0,176,0,174,182,0,50,0,0,174,389,0
180,144,0,50,0,0,180,0,180,182,0,50,0,0,180,244,0
180,144,0,50,0,0,180,0,180,182,0,50,0,0,180,71,0
176,144,0,50,0,0,176,0,175,182,0,50,0,0,175,166,0
177,144,0,50,0,0,177,0,176,182,0,50,0,0,176,267,0
182,144,0,50,0,0,182,0,182,182,0,50,0,0,182,121,0
183,144,0,50,0,0,183,0,183,182,0,50,0,0,183,0,0
185,144,0,50,0,0,185,0,185,182,0,50,0,0,185,0,0
184,144,0,50,0,0,184,0,184,182,0,50,0,0,184,0,0
183,144,0,50,0,0,183,0,183,182,0,50,0,0,183,0,0
182,144,0,50,0,0,182,0,181,182,0,50,0,0,181,26,0
177,144,0,50,0,0,177,0,177,182,0,50,0,0,177,137,0
177,144,0,50,0,0,177,0,176,182,0,50,0,0,176,273,0
177,144,0,50,0,0,177,0,176,182,0,50,0,0,176,273,0
178,144,0,50,0,0,178,0,177,182,0,50,0,0,177,208,0
177,144,0,50,0,0,177,0,177,182,0,50,0,0,177,212,0
178,144,0,50,0,0,178,0,177,182,0,50,0,0,177,226,0
179,144,0,50,0,0,179,0,178,182,0,50,0,0,178,201,0
179,144,0,50,0,0,179,0,178,182,0,50,0,0,178,176,0
180,144,0,50,0,0,180,0,179,182,0,50,0,0,179,189,0
180,144,0,50,0,0,180,0,179,182,0,50,0,0,179,119,0
178,144,0,50,0,0,178,0,177,182,0,50,0,0,177,216,0
179,144,0,50,0,0,179,0,179,182,0,50,0,0,179,237,0
182,144,0,50,0,0,182,0,181,182,0,50,0,0,181,66,0
183,144,0,50,0,0,183,0,183,182,0,50,0,0,183,12,0
185,144,0,50,0,0,185,0,185,182,0,50,0,0,185,0,0
186,144,0,50,0,0,186,0,186,182,0,50,0,0,186,0,0
188,144,0,50,0,0,188,0,188,182,0,50,0,0,188,0,0
187,144,0,50,0,0,187,0,187,182,0,50,0,0,187,0,0
187,144,0,50,0,0,187,0,186,182,0,50,0,0,186,0,0
186,144,0,50,0,0,186,0,184,182,0,50,0,0,184,0,0
180,144,0,50,0,0,180,0,179,182,0,50,0,0,179,0,0
178,144,0,50,0,0,178,0,176,182,0,50,0,0,176,130,0
174,144,0,50,0,0,174,0,173,182,0,50,0,0,173,401,0
173,144,0,50,0,0,173,0,172,182,0,50,0,0,172,448,0
175,144,0,50,0,0,175,0,174,182,0,50,0,0,174,471,0
177,144,0,50,0,0,177,0,176,182,0,50,0,0,176,376,0
179,144,0,50,0,0,179,0,179,182,0,50,0,0,179,203,0
180,144,0,50,0,0,180,0,179,182,0,50,0,0,179,148,0
180,144,0,50,0,0,180,0,178,182,0,50,0,0,178,128,0
178,144,0,50,0,0,178,0,176,182,1,50,0,0,176,155,0
176,144,0,50,0,0,176,0,174,182,1,50,0,0,174,251,0
176,144,0,50,0,0,176,0,174,182,1,50,0,0,174,371,0
176,144,0,50,0,0,176,0,175,182,1,50,0,0,175,351,0
174,144,0,50,0,0,174,0,173,182,1,50,0,0,173,360,0
171,144,0,50,0,0,171,0,171,182,1,50,0,0,171,419,0
169,144,0,50,0,0,169,0,168,182,1,50,0,0,168,708,0
170,144,0,50,0,0,170,0,169,182,1,50,0,0,169,692,0
171,144,0,50,0,0,171,0,171,182,1,50,0,0,171,608,0
174,144,0,50,0,0,174,0,174,182,1,50,0,0,174,537,0
178,144,0,50,0,0,178,0,178,182,1,50,0,0,178,321,0
181,144,0,50,0,0,181,0,181,182,1,50,0,0,181,200,0
190,144,0,50,0,0,190,0,192,182,0,50,0,0,192,0,0
194,144,0,50,0,0,194,0,195,182,0,50,0,0,195,0,0
193,144,0,50,0,0,193,0,193,182,0,50,0,0,193,0,0
190,144,0,50,0,0,190,0,189,182,0,50,0,0,189,0,0
184,144,0,50,0,0,184,0,183,182,0,50,0,0,183,0,0
186,144,0,50,0,0,186,0,184,182,0,50,0,0,184,0,0
189,144,0,50,0,0,189,0,188,182,0,50,0,0,188,0,0
190,144,0,50,0,0,190,0,189,182,0,50,0,0,189,0,0
187,144,0,50,0,0,187,0,186,182,0,50,0,0,186,0,0
187,144,0,50,0,0,187,0,185,182,0,50,0,0,185,0,0
181,144,0,50,0,0,181,0,180,182,0,50,0,0,180,0,0
181,144,0,50,0,0,181,0,179,182,0,50,0,0,179,73,0
180,144,0,50,0,0,180,0,179,182,0,50,0,0,179,107,0
179,144,0,50,0,0,179,0,177,182,0,50,0,0,177,150,0
177,144,0,50,0,0,177,0,175,182,0,50,0,0,175,205,0
176,144,0,50,0,0,176,0,174,182,1,50,0,0,174,308,0
169,144,0,50,0,0,169,0,168,182,1,50,0,0,168,353,0
168,144,0,50,0,0,168,0,167,182,1,50,0,0,167,671,0
170,144,0,50,0,0,170,0,170,182,1,50,0,0,170,705,0
173,144,0,50,0,0,173,0,174,182,1,50,0,0,174,566,0
179,144,0,50,0,0,179,0,180,182,1,50,0,0,180,375,0
182,144,0,50,0,0,182,0,183,182,0,50,0,0,183,76,0
187,144,0,50,0,0,187,0,188,182,0,50,0,0,188,0,0
187,144,0,50,0,0,187,0,186,182,0,50,0,0,186,0,0
183,144,0,50,0,0,183,0,182,182,0,50,0,0,182,0,0
184,144,0,50,0,0,184,0,182,182,0,50,0,0,182,0,0
183,144,0,50,0,0,183,0,180,182,0,50,0,0,180,51,0
180,144,0,50,0,0,180,0,178,182,0,50,0,0,178,176,0
183,144,0,50,0,0,183,0,180,182,0,50,0,0,180,64,0
184,144,0,50,0,0,184,0,182,182,0,50,0,0,182,0,0
183,144,0,50,0,0,183,0,181,182,0,50,0,0,181,5,0
183,144,0,50,0,0,183,0,181,182,0,50,0,0,181,23,0
183,144,0,50,0,0,183,0,181,182,0,50,0,0,181,41,0
182,144,0,50,0,0,182,0,180,182,0,50,0,0,180,57,0
180,144,0,50,0,0,180,0,177,182,0,50,0,0,177,230,0
178,144,0,50,0,0,178,0,176,182,0,50,0,0,176,292,0
176,144,0,50,0,0,176,0,174,182,0,50,0,0,174,335,0
176,144,0,50,0,0,176,0,174,182,0,50,0,0,174,398,0
176,144,0,50,0,0,176,0,175,182,0,50,0,0,175,367,0
176,144,0,50,0,0,176,0,174,182,0,50,0,0,174,366,0
179,144,0,50,0,0,179,0,178,182,0,50,0,0,178,278,0
181,144,0,50,0,0,181,0,180,182,0,50,0,0,180,58,0
183,144,0,50,0,0,183,0,182,182,0,50,0,0,182,0,0
188,144,0,50,0,0,188,0,189,182,0,50,0,0,189,0,0
188,144,0,50,0,0,188,0,187,182,0,50,0,0,187,0,0
184,144,0,50,0,0,184,0,182,182,0,50,0,0,182,0,0
184,144,0,50,0,0,184,0,182,182,0,50,0,0,182,0,0
186,144,0,50,0,0,186,0,184,182,0,50,0,0,184,0,0
187,144,0,50,0,0,187,0,185,182,0,50,0,0,185,0,0
186,144,0,50,0,0,186,0,184,182,0,50,0,0,184,0,0
183,144,0,50,0,0,183,0,182,182,0,50,0,0,182,0,0
180,144,0,50,0,0,180,0,178,182,0,50,0,0,178,158,0
179,144,0,50,0,0,179,0,176,182,0,50,0,0,176,258,0
172,144,0,50,0,0,172,0,169,182,0,50,0,0,169,612,0
171,144,0,50,0,0,171,0,168,182,0,50,0,0,168,660,0
170,144,0,50,0,0,170,0,168,182,0,50,0,0,168,655,0
172,144,0,50,0,0,172,0,170,182,0,50,0,0,170,587,0
176,144,0,50,0,0,176,0,174,182,0,50,0,0,174,392,0
179,144,0,50,0,0,179,0,176,182,0,50,0,0,176,258,0
183,144,0,50,0,0,183,0,181,182,0,50,0,0,181,50,0
187,144,0,50,0,0,187,0,184,182,0,50,0,0,184,0,0
189,144,0,50,0,0,189,0,188,182,0,50,0,0,188,0,0
188,144,0,50,0,0,188,0,187,182,0,50,0,0,187,0,0
189,144,0,50,0,0,189,0,188,182,0,50,0,0,188,0,0
189,144,0,50,0,0,189,0,187,182,0,50,0,0,187,0,0
191,144,0,50,0,0,191,0,188,182,0,50,0,0,188,0,0
191,144,0,50,0,0,191,0,189,182,0,50,0,0,189,0,0
187,144,0,50,0,0,187,0,184,182,0,50,0,0,184,0,0
186,144,0,50,0,0,186,0,182,182,0,50,0,0,182,0,0
182,144,0,50,0,0,182,0,177,182,0,50,0,0,177,148,0
182,144,0,50,0,0,182,0,177,182,0,50,0,0,177,225,0
179,144,0,50,0,0,179,0,175,182,0,50,0,0,175,333,0
178,144,0,50,0,0,178,0,175,182,0,50,0,0,175,325,0
179,144,0,50,0,0,179,0,178,182,0,50,0,0,178,300,0
180,144,0,50,0,0,180,0,179,182,0,50,0,0,179,101,0
179,144,0,50,0,0,179,0,179,182,0,50,0,0,179,132,0
179,144,0,50,0,0,179,0,178,182,0,50,0,0,178,176,0
179,144,0,50,0,0,179,0,177,182,0,50,0,0,177,164,0
175,144,0,50,0,0,175,0,173,182,0,50,0,0,173,407,0
175,144,0,50,0,0,175,0,171,182,0,50,0,0,171,551,0
176,144,0,50,0,0,176,0,173,182,0,50,0,0,173,435,0
178,144,0,50,0,0,178,0,175,182,0,50,0,0,175,473,0
176,144,0,50,0,0,176,0,174,182,0,50,0,0,174,389,0
178,144,0,50,0,0,178,0,177,182,1,50,0,0,177,298,0
178,144,0,50,0,0,178,0,177,182,1,50,0,0,177,210,0
178,144,0,50,0,0,178,0,177,182,1,50,0,0,177,214,0
176,144,0,50,0,0,176,0,176,182,1,50,0,0,176,219,0
173,144,0,50,0,0,173,0,173,182,1,50,0,0,173,355,0
174,144,0,50,0,0,174,0,174,182,1,50,0,0,174,435,0
176,144,0,50,0,0,176,0,176,182,1,50,0,0,176,321,0
176,144,0,50,0,0,176,0,176,182,1,50,0,0,176,267,0
178,144,0,50,0,0,178,0,179,182,1,50,0,0,179,175,0
179,144,0,50,0,0,179,0,180,182,1,50,0,0,180,137,0
182,144,0,50,0,0,182,0,183,182,0,50,0,0,183,30,0
183,144,0,50,0,0,183,0,183,182,0,50,0,0,183,0,0
187,144,0,50,0,0,187,0,186,182,0,50,0,0,186,0,0
189,144,0,50,0,0,189,0,188,182,0,50,0,0,188,0,0
189,144,0,50,0,0,189,0,188,182,0,50,0,0,188,0,0
180,144,0,50,0,0,180,0,181,182,0,50,0,0,181,0,0
183,144,0,50,0,0,183,0,181,182,0,50,0,0,181,8,0
188,144,0,50,0,0,188,0,185,182,0,50,0,0,185,0,0
188,144,0,50,0,0,188,0,186,182,0,50,0,0,186,0,0
188,144,0,50,0,0,188,0,185,182,0,50,0,0,185,0,0
186,144,0,50,0,0,186,0,182,182,0,50,0,0,182,0,0
185,144,0,50,0,0,185,0,182,182,0,50,0,0,182,0,0
183,144,0,50,0,0,183,0,181,182,0,50,0,0,181,44,0
180,144,0,50,0,0,180,0,178,182,0,50,0,0,178,123,0
181,144,0,50,0,0,181,0,179,182,0,50,0,0,179,135,0
179,144,0,50,0,0,179,0,176,182,0,50,0,0,176,167,0
176,144,0,50,0,0,176,0,174,182,1,50,0,0,174,383,0
170,144,0,50,0,0,170,0,168,182,1,50,0,0,168,555,0
171,144,0,50,0,0,171,0,170,182,1,50,0,0,170,667,0
171,144,0,50,0,0,171,0,170,182,1,50,0,0,170,637,0
171,144,0,50,0,0,171,0,171,182,1,50,0,0,171,585,0
172,144,0,50,0,0,172,0,172,182,1,50,0,0,172,500,0
173,144,0,50,0,0,173,0,172,182,1,50,0,0,172,492,0
176,144,0,50,0,0,176,0,174,182,1,50,0,0,174,439,0
179,144,0,50,0,0,179,0,178,182,1,50,0,0,178,351,0
185,144,0,50,0,0,185,0,185,182,0,50,0,0,185,0,0
186,144,0,50,0,0,186,0,186,182,0,50,0,0,186,0,0
188,144,0,50,0,0,188,0,187,182,0,50,0,0,187,0,0
